INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2024-01-01T10:00:00-00:00,2024-01-01T11:00:00-00:00,0,2024-01-01,3,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1087,ACTUAL,1
2024-01-01T23:00:00-00:00,2024-01-02T00:00:00-00:00,0,2024-01-01,16,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1398,ACTUAL,1
2024-01-02T06:00:00-00:00,2024-01-02T07:00:00-00:00,0,2024-01-01,23,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1228,ACTUAL,1
2024-01-02T07:00:00-00:00,2024-01-02T08:00:00-00:00,0,2024-01-01,24,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1157,ACTUAL,1
2024-01-01T12:00:00-00:00,2024-01-01T13:00:00-00:00,0,2024-01-01,5,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1109,ACTUAL,1
2024-01-01T13:00:00-00:00,2024-01-01T14:00:00-00:00,0,2024-01-01,6,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1155,ACTUAL,1
2024-01-01T17:00:00-00:00,2024-01-01T18:00:00-00:00,0,2024-01-01,10,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1345,ACTUAL,1
2024-01-01T18:00:00-00:00,2024-01-01T19:00:00-00:00,0,2024-01-01,11,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1379,ACTUAL,1
2024-01-01T19:00:00-00:00,2024-01-01T20:00:00-00:00,0,2024-01-01,12,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1391,ACTUAL,1
2024-01-02T01:00:00-00:00,2024-01-02T02:00:00-00:00,0,2024-01-01,18,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1498,ACTUAL,1
2024-01-02T04:00:00-00:00,2024-01-02T05:00:00-00:00,0,2024-01-01,21,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1417,ACTUAL,1
