OPR_DT,OPR_HR,OPR_INTERVAL,INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,TRADING_HUB,RENEWABLE_TYPE,LABEL,XML_DATA_ITEM,MARKET_RUN_ID_POS,RENEW_POS,MW,MARKET_RUN_ID,GROUP
2023-01-01,13,0,2023-01-01T20:00:00-00:00,2023-01-01T21:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,925.71,DAM,1
2023-01-01,15,0,2023-01-01T22:00:00-00:00,2023-01-01T23:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,890.54,DAM,1
2023-01-01,12,0,2023-01-01T19:00:00-00:00,2023-01-01T20:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,945.11,DAM,1
2023-01-01,19,0,2023-01-02T02:00:00-00:00,2023-01-02T03:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0.0,DAM,1
2023-01-01,11,0,2023-01-01T18:00:00-00:00,2023-01-01T19:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,960.87,DAM,1
2023-01-01,24,0,2023-01-02T07:00:00-00:00,2023-01-02T08:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0.0,DAM,1
2023-01-01,10,0,2023-01-01T17:00:00-00:00,2023-01-01T18:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,916.38,DAM,1
2023-01-01,16,0,2023-01-01T23:00:00-00:00,2023-01-02T00:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,537.87,DAM,1
2023-01-01,9,0,2023-01-01T16:00:00-00:00,2023-01-01T17:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,531.03,DAM,1
2023-01-01,23,0,2023-01-02T06:00:00-00:00,2023-01-02T07:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0.0,DAM,1
